,geoid10,score10,se10
44309,36047041800,0.50852364,0.028813897
44310,36047041900,0.39191869,0.013404503
44311,36047042000,0.4436188,0.030443406
44312,36047042100,0.35946387,0.013690255
44313,36047042200,0.48283949,0.023518188
44314,36047042300,0.40105459,0.016154993
44315,36047042400,0.53671134,0.022139229
44316,36047042500,0.39116424,0.017381867
44317,36047042600,0.59495193,0.020011039
44318,36047042700,0.37594026,0.012093572
44319,36047042800,0.5479359,0.022718824
44320,36047042900,0.39365101,0.01153721
44321,36047043000,0.54642469,0.019938271
44322,36047043100,0.36886266,0.010118818
44323,36047043200,0.5713712,0.01864776
